"+ Who can view this feed?";"+ Who can view this feed?"
"Share";"Share"
"General";"General"
"Networks";"Networks"
"Friend List";"Friend List"
"Friends";"Friends"
"Groups";"Groups"
"Get Feeds";"Get Feeds"
"{item:$subject} tagged you in a {item:$object:post}.";"{item:$subject} tagged you in a {item:$object:post}."
"ACTIVITY_TYPE_YNFEED_TAG";"When I'm tagged in posts"
"ACTIVITY_TYPE_FOLLOW_COMMENTED";"When people comment on things I follow."
"ACTIVITY_TYPE_FOLLOW_LIKED";"When people like things I follow."
"Advanced Feed";"Advanced Feed"
"Angel";"Angel"
"Angry";"Angry"
"Bearhug";"Bear hug"
"Beer";"Beer"
"Blush";"Blush"
"Bow";"Bow"
"Boxing";"Boxing"
"Brokenheart";"Broken heart"
"Bake";"Bake"
"Callme";"Call me"
"Cash";"Cash"
"Cellphone";"Cellphone"
"Clapping";"Clapping"
"Coffee";"Coffee"
"Cool";"Cool"
"Crying";"Crying"
"Dance";"Dance"
"Devil";"Devil"
"Doh";"Doh"
"Drink";"Drink"
"Dull";"Dull"
"Emo";"Emo"
"Evilgrin";"Evil grin"
"Flex";"Flex"
"Flower";"Flower"
"Giggle";"Giggle"
"Handshake";"Handshake"
"Happy";"Happy"
"Heart";"Heart"
"Hi";"Hi"
"Inlove";"In love"
"Itwasntme";"It wasn't me"
"Jealous";"Jealous"
"Kiss";"Kiss"
"Laughing";"Laughing"
"Mail";"Mail"
"Makeup";"Make up"
"Mmm";"Mmm"
"Music";"Music"
"Nerd";"Nerd"
"No";"No"
"Nod";"Nod"
"Nospeak";"No speak"
"Party";"Party"
"Puke";"Puke"
"Rofl";"Rolf"
"Sad";"Sad"
"Shakeno";"Shake no"
"Smile";"Smile"
"Speechless";"Speechless"
"Sweating";"Sweating"
"Thinking";"Thinking"
"Tongue out";"Tongue out"
"Wait";"Wait"
"Whew";"Whew"
"Wink";"Wink"
"Worried";"Worried"
"Yes";"Yes"
"Your changes have been saved.";"Your changes have been saved."
"Your List has been deleted.";"Your List has been deleted."
"Your List has been created successfully.";"Your List has been created successfully."
"Edit list with %s items";"Edit list with %s items"
"Edit your list for viewing updates by choosing content items and friends below.";"Edit your list for viewing updates by choosing content items and friends below."
"Create list with %s items";"Create list with %s items"
"Selected (%s)";"Selected (%s)"
"Enter List Title...";"Enter List Title..."
"Create a new list for viewing updates by choosing content items and friends below.";"Create a new list for viewing updates by choosing content items and friends below."
"Guests";"Guests"
"Likes";"Likes"
"You have no events suggestions.";"You have no events suggestions."
"host by %1$s";"host by %1$s"
"by %1$s";"by %1$s"
"%s mutual friend";"%s mutual friend";"%s mutual friends"
"Accept";"Accept"
"Not Now";"Not Now"
"You have no new friend requests.";"You have no new friend requests."
"You have no groups suggestions.";"You have no groups suggestions."
"%s member";"%s member";"%s members"
"Location";"Location"
"Time create";"Time create"
"You have no new member suggestions.";"You have no new member suggestions."
"Most Liked Items";"Most Liked Items"
"Posted by %s";"Posted by %s"
"Liked";"Liked"
"%s like";"%s like";"%s likes"
"Access to address books";"Access to address books"
"to invite friends to connect with them in the social networking";"to invite friends to connect with them in the social networking"
"Accept your Friend Requests";"Accept your Friend Requests"
"Search friends already on %s";"Search friends already on %s"
"Find Friends";"Find Friends"
"Member Suggestions";"Member Suggestions"
"Group Suggestions";"Group Suggestions"
"Event Suggestions";"Event Suggestions"
"Total shared";"Total shared"
"Stop Notifications";"Stop Notifications"
"Get Notifications";"Get Notifications"
"Disable Comments";"Disable Comments"
"Enable Comments";"Enable Comments"
"Lock Feed";"Lock Feed"
"Unlock Feed";"Unlock Feed"

"{item:$subject} likes {item:$object:post}.";"{item:$subject} likes {item:$object:post}."
"{item:$subject} has commented on {item:$object:post}.";"{item:$subject} has commented on {item:$object:post}."

# notify_ynfeed_tag
"_EMAIL_NOTIFY_YNFEED_TAG_TITLE";"Advanced Feed - Tagged"
"_EMAIL_NOTIFY_YNFEED_TAG_DESCRIPTION";"This email is sent to the member when someone tags them."
"_EMAIL_NOTIFY_YNFEED_TAG_SUBJECT";"You have been tagged"
"_EMAIL_NOTIFY_YNFEED_TAG_BODY";"[header]

You have been tagged in a post. Please click the following link to view it:

http://[host][object_link]

[footer]"


# notify_follow_liked
"_EMAIL_NOTIFY_FOLLOW_LIKED_TITLE";"Follow Like"
"_EMAIL_NOTIFY_FOLLOW_LIKED_DESCRIPTION";"This email is sent to the member when someone likes the post you following."
"_EMAIL_NOTIFY_FOLLOW_LIKED_SUBJECT";"[sender_title] liked post"
"_EMAIL_NOTIFY_FOLLOW_LIKED_BODY";"[header]

[sender_title] has liked one of your following posts. Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_follow_commented
"_EMAIL_NOTIFY_FOLLOW_COMMENTED_TITLE";"Follow Comment"
"_EMAIL_NOTIFY_FOLLOW_COMMENTED_DESCRIPTION";"This email is sent to someone when a comment is made on the post."
"_EMAIL_NOTIFY_FOLLOW_COMMENTED_SUBJECT";"[sender_title] commented on something you following"
"_EMAIL_NOTIFY_FOLLOW_COMMENTED_BODY";"[header]

A new comment has been posted on one of your following posts by [sender_title]. Please click the following link to view it:

http://[host][object_link]

[footer]"

"Adv Notification";"Adv Notification"
"Notification Settings";"Notification Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Display notification (Seconds)";"Display notification (seconds)"
"Notification Refresh Time (Seconds)";"Notification Refresh Time (seconds)"
"Show photo in notification message";"Show photo in notification message"
"Define in seconds when the Advanced Feed Notification box should hide.";"Define in seconds when the Advanced Feed Notification box should hide."
"Define how many seconds before the notifications refresh.";"Define how many seconds before the notifications refresh."
"Show user profile photo in notification message box.";"Show user profile photo in notification message box."
"Save Changes";"Save Changes"
"Yes";"Yes"
"No";"No"
"Style Settings";"Style Settings"
"These settings affect all theme in your community.";"These settings affect all theme in your community."
"Message Background color";"Message Background color"
"Text color";"Text color"
"Set Default";"Set Default"
"Sound Alert Settings";"Sound Alert Settings"
"Choose Sound Alert (Required)";"Choose Sound Alert (Required)"
"Choose Sound Alert (Optional)";"Choose Sound Alert (Optional)"
"Play sound alert in notification message";"Play sound alert in notification message"
"Support file mp3";"Support file mp3"
"Support wav file for firefox";"Support wav file for firefox"
"You have set default styles.";"You have set default styles."
"Your changes have been saved.";"Your changes have been saved."
"Have a low number (< 30 seconds) for this setting value could impact the performance of the system.";"Have a low number (< 30 seconds) for this setting value could impact the performance of the system."

# -------- Start Album -------
"There has been no album in this category yet.";"There has been no album in this category yet."
"Title is saved successfully.";"Title is saved successfully."
"Enter a location";"Enter a location"
"Where was this photo taken?";"Where was this photo taken?"
"Date Taken";"Date Taken"
"Date is saved successfully.";"Date is saved successfully."
"Are you sure that you want to delete this album?";"Are you sure that you want to delete this album?"
"Are you sure that you want to delete this photo?";"Are you sure that you want to delete this photo?"
"Delete Successfully";"Delete Successfully"
"Set album cover successfully";"Set album cover successfully"
"Add Location";"Add Location"
"Change location successfully!";"Change location successfully!"

"Download Album";"Download Album"
"Album";"Album"
"Albums";"Albums"
"Album Statistics";"Album Statistics"
"Hover the mouse on the photo to see navigation buttons";"Hover the mouse on the photo to see navigation buttons"
"Album %1$s by %2$s";"Album %1$s by %2$s"
"you already rated";"you already rated"
"please login to rate";"please login to rate"
"click to rate";"click to rate"
"rating";"rating"
"ratings";"ratings"
"Edit Title";"Edit Title"
"Change Date";"Change Date"
"Change Location";"Change Location"
"Set Album Cover";"Set Album Cover"
"Download Resized Photo";"Download Resized Photo"
"Download Full Size Photo";"Download Full Size Photo"
"Your report has been submitted";"Your report has been submitted"
"Download";"Download"
"flip vertical";"flip vertical"
"flip horizontal";"flip horizontal"
"rotate left";"rotate left"
"rotate right";"rotate right"
"Separate multiple email addresses (up to 5) with commas.";"Separate multiple email addresses (up to 5) with commas."
"Your name or your email";"Your name or your email"
"Message:";"Message:"
"Send!";"Send!"
"Recipient email";"Recipient email"
"Your picture has been sent.";"Your picture has been sent."
"Email invalid:";"Email invalid:"
"Slide Show";"Slide Show"
"Original Effect";"Original Effect"
"Flash Effect";"Flash Effect"
"Fold Effect";"Fold Effect"
"Fush Effect";"Fush Effect"
"%1$s\'s Other Albums";"%1$s\'s Other Albums"

"Forum code";"Forum code"
"Send to friend";"Send to friend"
"Send to yahoo";"Send to yahoo"

"Photo Albums";"Photo Albums"
"photo";"photo";"photos"
"Wall Photos";"Wall Photos"
"View All Albums";"View All Albums"

"ADMIN_ACTIVITY_TYPE_ADVALBUM_PHOTO_NEW";"When a new photo is uploaded."
"ADMIN_ACTIVITY_TYPE_LIKE_ALBUM";"When someone likes one of my albums."
"ADMIN_ACTIVITY_TYPE_LIKE_ALBUM_PHOTO";"When someone likes one of my photos."
"ADMIN_ACTIVITY_TYPE_LIKED_ALBUM";"When someone comments on an album I liked."
"ADMIN_ACTIVITY_TYPE_LIKED_ALBUM_PHOTO";"When someone comments on a photo I liked."
"ADMIN_ACTIVITY_TYPE_COMMENTED_ALBUM";"When someone comments on an album I commented on."
"ADMIN_ACTIVITY_TYPE_COMMENTED_ALBUM_PHOTO";"When someone comments on a photo I commented on."
"ADMIN_ACTIVITY_TYPE_COMMENT_ADVALBUM";"When someone comments on one of my albums."
"ADMIN_ACTIVITY_TYPE_COMMENT_ADVALBUM_PHOTO";"When someone comments on one of my photos."

"_ACTIVITY_ACTIONTYPE_ALBUM_PHOTO_NEW";"New photo albums"
"_ACTIVITY_ACTIONTYPE_COMMENT_ALBUM";"Comments on your photo albums"
"_ACTIVITY_ACTIONTYPE_COMMENT_ALBUM_PHOTO";"Comments on your photos"

"_ACTIVITY_ACTIONTYPE_ADVALBUM_PHOTO_NEW";"New photo albums"
"_ACTIVITY_ACTIONTYPE_COMMENT_ADVALBUM";"Comments on your photo albums"
"_ACTIVITY_ACTIONTYPE_COMMENT_ADVALBUM_PHOTO";"Comments on your photos"

"ACTIVITY_TYPE_COMMENTED_ALBUM";"When someone comments on an album I commented on."
"ACTIVITY_TYPE_COMMENTED_ALBUM_PHOTO";"When someone comments on a photo I commented on."
"ACTIVITY_TYPE_COMMENT_ALBUM";"When someone comments on one of my albums."
"ACTIVITY_TYPE_COMMENT_ALBUM_PHOTO";"When someone comments on one of my photos."
"ACTIVITY_TYPE_LIKED_ALBUM";"When someone comments on an album I liked."
"ACTIVITY_TYPE_LIKED_ALBUM_PHOTO";"When someone comments on a photo I liked."
"ACTIVITY_TYPE_LIKE_ALBUM";"When someone likes one of my albums."
"ACTIVITY_TYPE_LIKE_ALBUM_PHOTO";"When someone likes one of my photos."
"ACTIVITY_TYPE_ALBUM_PHOTO_NEW";"When a new photo is uploaded."

"Browse albums by:";"Browse albums by:"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Add New Photos";"Add New Photos"
"Nobody has created an album yet.";"Nobody has created an album yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"%s photo";"%s photo";"%s photos"
"By";"by"
"Manage Photos";"Manage Photos"
"Edit Settings";"Edit Settings"
"Delete Album";"Delete Album"
"Add More Photos";"Add More Photos"
"Manage Photos";"Manage Photos"
"Edit Settings";"Edit Settings"
"You do not have any albums yet.";"You do not have any albums yet."
"ADD TAG";"ADD TAG"
"Add Tag";"Add Tag"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."
"Prev";"Prev"
"Next";"Next"
"Tagged:";"Tagged:"
"Added";"Added"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"
"Photo %1$s of %2$s in %3$s";"Photo %1$s of %2$s in %3$s"
"Photo";"Photo"
"of";"of"
"in";"in"
"%1$s's Album: %2$s";"%1$s's Album: %2$s"
"Are you sure you want to delete this album?";"Are you sure you want to delete this album?"
"Cancel";"Cancel"

"Edit Album Settings";"Edit Album Settings"
"Album Name";"Album Name"
"Please specify an album title";"Please specify an album title"
"Album Description";"Album Description"
"Show this album in search results";"Show this album in search results"

"Everyone";"Everyone"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"

"Privacy";"Privacy"
"Who may see this album?";"Who may see this album?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this album?";"Who may post comments on this album?"

"Tagging";"Tagging"
"Who may tag photos in this album?";"Who may tag photos in this album?"

"Save Album";"Save Album"
"Album Cover";"Album Cover"
"Save Changes";"Save Changes"

"Title";"Title"
"Caption";"Caption"
"Delete Photo";"Delete Photo"

"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album.";"Choose photos on your computer to add to this album."
"Save Photos";"Save Photos"
"Choose Album";"Choose Album"
"Create A New Album";"Create A New Album"
"Everyone's Albums";"Everyone's Albums"
"My Albums";"My Albums"
"Album Title";"Album Title"

"or";"or"
"cancel";"cancel"

"Unable to upload photo. Please click cancel and try again";"Unable to upload photo. Please click cancel and try again"
"Add Photo";"Add Photo"

"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."

"Thumbnails Per Page";"Thumbnails Per Page"
"How many albums will be shown per page?";"How many albums will be shown per page?"
"View Albums";"View Albums"

"ALBUM_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"Allow Viewing of Photo Albums?";"Allow Viewing of Photo Albums?"
"ALBUM_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view photo albums? If set to no, some other settings on this page may not apply."
"Yes, allow members to view all albums, even private ones.";"Yes, allow members to view all albums, even private ones."
"Yes, allow viewing and subscription of photo albums.";"Yes, allow viewing and subscription of photo albums."
"No, do not allow photo albums to be viewed.";"No, do not allow photo albums to be viewed."

"Allow Creation of Photo Albums?";"Allow Creation of Photo Albums?"
"ALBUM_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create photo albums? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view photo albums and manage their subscriptions, but only want certain levels to be able to create photo albums."
"Yes, allow creation of photo albums.";"Yes, allow creation of photo albums."
"No, do not allow photo album to be created.";"No, do not allow photo album to be created."

"Allow Editing of Photo Albums?";"Allow Editing of Photo Albums?"
"Do you want to let members of this level edit photo albums?";"Do you want to let members of this level edit photo albums?"

"No, do not allow photo album to be edited.";"No, do not allow photo album to be edited."
"Yes, allow members to edit their own albums.";"Yes, allow members to edit their own albums."
"Yes, allow members to edit all albums.";"Yes, allow members to edit all albums."

"Album Privacy";"Album Privacy"
"ALBUM_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their albums. These options appear on your users' ""Create Album"" and ""Edit Album"" pages. If you do not check any options, everyone will be allowed to view albums."

"Album Comment Options";"Album Comment Options"
"ALBUM_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post comments on their albums and photos. If you do not check any options, everyone will be allowed to post comments on albums."

"Album Tag Options";"Album Tag Options"
"ALBUM_FORM_ADMIN_LEVEL_AUTHTAG_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post tags on their albums and photos. If you do not check any options, everyone will be allowed to post tags on albums."

"Are you sure you want to delete the selected photo albums?";"Are you sure you want to delete the selected photo albums?"
"ALBUM_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the photo albums your users have posted. You can use this page to monitor these albums and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific album entries. Leaving the filter fields blank will show all the album entries on your social network."
"PHOTO_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the photos your users have posted. You can use this page to monitor these photos and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific photo entries. Leaving the filter fields blank will show all the album entries on your social network."

"view";"view"

"Invalid method";"Invalid method"
"Invalid Upload";"Invalid Upload"
"Invalid data";"Invalid data"
"No file";"No file"
"An error occurred.";"An error occurred."
"Invalid request method";"Invalid request method"
"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid data";"Invalid data"
"Album doesn't exists or not authorized to delete";"Album doesn't exists or not authorized to delete"
"Album has been deleted.";"Album has been deleted."
"Photo saved successfully";"Photo saved successfully"

"Select File";"Select File"
"This plugin gives your users their own personal photo albums. These albums can be configured to store photos, videos, or any other file types you choose to allow. Users can interact by commenting on each others photos and viewing their friends' recent updates.";"This plugin gives your users their own personal photo albums. These albums can be configured to store photos, videos, or any other file types you choose to allow. Users can interact by commenting on each others photos and viewing their friends' recent updates."
"Get started by %1$screating%2$s your first album!";"Get started by %1$screating%2$s your first album!"

"ALBUM_VIEW_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their photo albums, create the categories below. This feature is useful if you want to list all your users' photo albums that If you have no categories, your users will not be given the option of assigning a category."
"Edit Category";"Edit Category"
"Category Name";"Category Name"
"Add Category";"Add Category"
"Add New Category";"Add New Category"
"Your changes have been saved.";"Your changes have been saved."
"Delete Album Category?";"Delete Album Category?"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted.";"Are you sure that you want to delete this category? It will not be recoverable after being deleted."
"Category";"Category"
"Search Albums:";"Search Albums:"
"Album Categories";"Album Categories"

"Attached Image";"Attached Image"

# Activty Feed types
"{item:$subject} added {var:$count} photo(s) to the album {item:$object}:";"{item:$subject} added {var:$count} photo(s) to the album {item:$object}:"
"{item:$subject} commented on {item:$owner}'s {item:$object:album}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:album}: {body:$body}"
"{item:$subject} commented on {item:$owner}'s {item:$object:photo}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:photo}: {body:$body}"

"ITEM_TYPE_ALBUM";"Albums"
"ITEM_TYPE_ALBUM_PHOTO";"Album Photos"
"ITEM_TYPE_ADVALBUM_ALBUM";"Albums"
"ITEM_TYPE_ADVALBUM_PHOTO";"Album Photos"

"Photo Albums Plugin";"Photo Albums Plugin"
"No, do not allow photo albums to be edited.";"No, do not allow photo albums to be edited."
"Allow Deletion of Photo Albums?";"Allow Deletion of Photo Albums?"
"Do you want to let members of this level delete photo albums?";"Do you want to let members of this level delete photo albums?"
"Yes, allow members to delete all photo albums.";"Yes, allow members to delete all photo albums."
"Yes, allow members to delete their own photo albums.";"Yes, allow members to delete their own photo albums."
"No, do not allow members to delete their photo albums.";"No, do not allow members to delete their photo albums."
"Allow Commenting on Photo Albums?";"Allow Commenting on Photo Albums?"
"Do you want to let members of this level comment on photo albums?";"Do you want to let members of this level comment on photo albums?"
"Yes, allow members to comment on all photo albums, including private ones.";"Yes, allow members to comment on all photo albums, including private ones."
"Yes, allow members to comment on albums.";"Yes, allow members to comment on albums."
"No, do not allow members to comment on photo albums.";"No, do not allow members to comment on photo albums."

"Profile Albums";"Profile Albums"

"Album Main Navigation Menu";"Album Main Navigation Menu"
"Album Quick Navigation Menu";"Album Quick Navigation Menu"
"Home";"Home"
"Listing";"Listing"
"Featured Photos";"Featured Photos"
"Top Albums";"Top Albums"
"Recent Albums";"Recent Albums"
"Hot Photos";"Hot Photos"
"View more";"View more"
"Top Photos";"Top Photos"
"Random Photos";"Random Photos"
"Today Photos";"Today Photos"
"This Month Photos";"This Month Photos"
"This Week Photos";"This Week Photos"
"Hot Albums";"Hot Albums"
"Popular Albums";"Popular Albums"
"Random Albums";"Random Albums"
"%1$d views";"%1$d views"
"%1$d view";"%1$d view"
"%1$d comments";"%1$d comments"
"%1$d comment";"%1$d comment"
"By %1$s in %2$s";"By %1$s in %2$s"
"%1$d likes";"%1$d likes"
"%1$d like";"%1$d like"
"%1$s photos";"%1$s photos"
"%1$s photo";"%1$s photo"
"%1$s<br/> %2$s, %3$s";"%1$s<br/> %2$s, %3$s"
"%2$s by %1$s<br/>%3$s, %4$s";"%2$s by %1$s<br/>%3$s, %4$s"
"_STORAGE_UPLOAD_DESCRIPTION";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your album."
"Add Photos";"Add Photos"
"Clear List";"Clear List"
"Remove";"Remove"
"Most Popular";"Most Popular"
"Most Commented";"Most Commented"
"Most Liked";"Most Liked"
"Categories";"Categories"
"Top Members";"Top Members"
"Other";"Other"
"There is no album.";"There is no album."
" or ";" or "
"Album added time: ";"Album added time: "
"View Detail";"View Detail"
"Views: %1$d, likes: %2$d";"Views: %1$d, likes: %2$d"
"Views: %1$d Likes: %2$d";"Views: %1$d Likes: %2$d"
"Statistics";"Statistics"
"Photos";"Photos"
"Photos: ";"Photos: "
"Views:";"Views:"
"Comments:";"Comments:"
"Other Albums";"Other Albums"
"Photo added time: ";"Photo added time: "
"By <b>%1$s</b>";"By <b>%1$s</b>"
"In album <b>%1$s</b>";"In album <b>%1$s</b>"
"Nobody has uploaded new photos in this week yet.";"Nobody has uploaded new photos in this week yet."
"There are no top albums";"There are no top albums"
"There are no recent albums";"There are no recent albums"
"Nobody has uploaded a photo yet.";"Nobody has uploaded a photo yet."
"Nobody has uploaded an album yet.";"Nobody has uploaded an album yet."
"Nobody has uploaded new photos today yet.";"Nobody has uploaded new photos today yet."
"Nobody has uploaded new photos in this month yet.";"Nobody has uploaded new photos in this month yet."
"Browse By:";"Browse By:"
"Friends and Networks";"Friends and Networks"
"ALBUM_FORM_ADMIN_LEVEL_AUTHADDPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can add photos on their albums and photos. If you do not check any options, everyone will be allowed to add photos on albums."

# -------- End Album -------

# -------- Start Talk -------
"January";"January"
"February";"February"
"March";"March"
"April";"April"
"May";"May"
"June";"June"
"July";"July"
"August";"August"
"September";"September"
"October";"October"
"November";"November"
"Su";"Su"
"Mo";"Mo"
"Tu";"Tu"
"We";"We"
"Th";"Th"
"Fr";"Fr"
"Sa";"Sa"

"Edit Entry";"Edit Entry"
"Delete Entry";"Delete Entry"
"Posted by";"Posted by"
"about";"about"
"You do not have any blog entries that match your search criteria.";"You do not have any blog entries that match your search criteria."
"You do not have any blog entries.";"You do not have any blog entries."
"Get started by %1$swriting%2$s a new entry.";"Get started by %1$swriting%2$s a new entry."
"Write New Entry";"Write New Entry"
"Compose your new blog entry below, then click ""Post Entry"" to publish the entry to your blog.";"Compose your new blog entry below, then click ""Post Entry"" to publish the entry to your blog."
"Title";"Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Category";"Category"
"Status";"Status"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Show this blog entry in search results";"Show this blog entry in search results"
"View Privacy";"View Privacy"
"Who may see this blog entry?";"Who may see this blog entry?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this blog entry?";"Who may post comments on this blog entry?"
"Post Entry";"Post Entry"
"Search Blogs";"Search Blogs"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Show";"Show"
"All Entries";"All Entries"
"Only Published";"Only Published"
"Only Drafts";"Only Drafts"
"Everyone\'s Blogs";"Everyone\'s Blogs"
"Only My Friends\' Blogs";"Only My Friends\' Blogs"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Everyone";"Everyone"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Blogs";"Blogs"
"My Entries";"My Entries"
"Browse Entries";"Browse Entries"
"Edit Blog Style";"Edit Blog Style"
"Only Approved";"Only Approved"
"Only Approving";"Only Approving"
"approving";"approving"
"approved";"approved"
"draft";"draft"
"Edit Blog Entry";"Edit Blog Entry"
"Edit your entry below, then click ""Post Entry"" to publish the entry on your blog.";"Edit your entry below, then click ""Post Entry"" to publish the entry on your blog."
"Save Changes";"Save Changes"
"Your changes have been saved.";"Your changes have been saved."
"Advanced Blogs Browse Page";"Advanced Blogs Browse Page"
"Blog entry doesn't exist or not authorized to delete.";"Blog entry doesn't exist or not authorized to delete."
"Invalid request method.";"Invalid request method."
"Your blog entry has been deleted.";"Your blog entry has been deleted."
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this blog entry?";"Are you sure you want to delete this blog entry?"
"cancel";"cancel"
" or ";" or "
"Blog Styles";"Blog Styles"
"Custom Blog Styles";" Custom Blog Styles"
"_BLOG_FORM_STYLE_DESCRIPTION";" You can change the colors, fonts, and styles of your blog by adding CSS code below. The contents of the text area below will be output between <style> tags on your blog."
"Categories";"Categories"
"'s Entries";"'s Entries"
"by";"by"
"%s comment";"%s comment"
"%s comments";"%s comments"
"%1$s has not published a blog entry with that criteria.";"%1$s has not published a blog entry with that criteria."
"%1$s has not written a blog entry yet.";"%1$s has not written a blog entry yet."
"AddThis Settings";"AddThis Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
